class_name	major	category
Powder metallurgy	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Materials in electrical applications	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Selected aspects of materials science	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Materiały i technologie w motoryzacji i kolejnictwie	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Materiały i technologie w przemyśle kablowym, elektroenergetyce i elektrotechnice	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Materiały i technologie w jubilerstwie	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Materiały dla elektroniki	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Technologies in cable industry	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Corrosion of metals and alloys	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Powder metallurgy	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Materials in electrical applications	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Selected aspects of materials science	Inżynieria materiałowa	Inżynieria Metali Nieżelaznych
Chemia ogólna	Inżynieria materiałowa	Inżynieria Materiałowa
Wstęp do fizyki	Inżynieria materiałowa	Inżynieria Materiałowa
Grafika inżynierska wspomagana komputerowo	Inżynieria materiałowa	Inżynieria Materiałowa
Technologie informacyjne	Inżynieria materiałowa	Inżynieria Materiałowa
Propedeutyka nauk materiałowych	Inżynieria materiałowa	Inżynieria Materiałowa
Statystyka	Inżynieria materiałowa	Inżynieria Materiałowa
Wstęp do matematyki	Inżynieria materiałowa	Inżynieria Materiałowa
Fizyka	Inżynieria materiałowa	Inżynieria Materiałowa
Chemia nieorganiczna z elementami analizy chemicznej - kurs podstawowy	Inżynieria materiałowa	Inżynieria Materiałowa
Chemia nieorganiczna z elementami analizy chemicznej - kurs rozszerzony	Inżynieria materiałowa	Inżynieria Materiałowa
Zastosowania rachunku różniczkowego i całkowego	Inżynieria materiałowa	Inżynieria Materiałowa
Metody matematyczne w inżynierii materiałowej	Inżynieria materiałowa	Inżynieria Materiałowa
Elektrotechnika z elektroniką	Inżynieria materiałowa	Inżynieria Materiałowa
Informatyka	Inżynieria materiałowa	Inżynieria Materiałowa
Historia ceramiki	Inżynieria materiałowa	Inżynieria Materiałowa
Muzyka od baroku do impresjonizmu	Inżynieria materiałowa	Inżynieria Materiałowa
Sztuka użytkowa	Inżynieria materiałowa	Inżynieria Materiałowa
Brydż dla początkujących	Inżynieria materiałowa	Inżynieria Materiałowa
Kompendium pracownika wiedzy	Inżynieria materiałowa	Inżynieria Materiałowa
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Inżynieria Materiałowa
Chemia fizyczna	Inżynieria materiałowa	Inżynieria Materiałowa
Chemia organiczna	Inżynieria materiałowa	Inżynieria Materiałowa
Krystalografia z elementami rentgenografii	Inżynieria materiałowa	Inżynieria Materiałowa
Podstawy mechaniki i konstrukcji maszyn	Inżynieria materiałowa	Inżynieria Materiałowa
Podstawy projektowania komputerowego - CAD	Inżynieria materiałowa	Inżynieria Materiałowa
Podstawy projektowania komputerowego - RHINO	Inżynieria materiałowa	Inżynieria Materiałowa
Podstawy projektowania komputerowego - ANSYS i SOLID WORKS	Inżynieria materiałowa	Inżynieria Materiałowa
Ceramika w medycynie	Inżynieria materiałowa	Inżynieria Materiałowa
Materiały budowlane w ochronie środowiska	Inżynieria materiałowa	Inżynieria Materiałowa
Materiały budowlane w nowoczesnym budownictwie jednorodzinnym	Inżynieria materiałowa	Inżynieria Materiałowa
Budowa i oprogramowanie aparatury pomiarowej	Inżynieria materiałowa	Inżynieria Materiałowa
Biopolimery	Inżynieria materiałowa	Inżynieria Materiałowa
Recykling i utylizacja odpadów	Inżynieria materiałowa	Inżynieria Materiałowa
Rentgenografia w ceramice i inżynierii materiałów	Inżynieria materiałowa	Inżynieria Materiałowa
Spoiwa aktywowane alkalicznie	Inżynieria materiałowa	Inżynieria Materiałowa
Materiały wykończeniowe dla budownictwa	Inżynieria materiałowa	Inżynieria Materiałowa
Nowoczesne technologie w ceramice ogniotrwałej	Inżynieria materiałowa	Inżynieria Materiałowa
Technologia cienkowarstwowa	Inżynieria materiałowa	Inżynieria Materiałowa
Próżnia w badaniach materiałów	Inżynieria materiałowa	Inżynieria Materiałowa
Wpływ domieszek i dodatków mineralnych na właściwości kompozytowych materiałów cementowych	Inżynieria materiałowa	Inżynieria Materiałowa
Metody badań w kryminalistyce	Inżynieria materiałowa	Inżynieria Materiałowa
Toksykologia	Inżynieria materiałowa	Inżynieria Materiałowa
Neurobiologia	Inżynieria materiałowa	Inżynieria Materiałowa
Metody wytwarzania barwnych szkieł i emalii	Inżynieria materiałowa	Inżynieria Materiałowa
Matlab – narzędzie dla inżynierów	Inżynieria materiałowa	Inżynieria Materiałowa
Światłowody	Inżynieria materiałowa	Inżynieria Materiałowa
Rozwiązania dla zrównoważonego rozwoju przemysłu cementowego	Inżynieria materiałowa	Inżynieria Materiałowa
Materiały membranowe i ich zastosowanie w przemyśle i ochronie środowiska	Inżynieria materiałowa	Inżynieria Materiałowa
Środowiskowe zagrożenia zdrowia	Inżynieria materiałowa	Inżynieria Materiałowa
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Inżynieria Materiałowa
Nauka o materiałach	Inżynieria materiałowa	Inżynieria Materiałowa
Procesy technologiczne w praktyce przemysłowej	Inżynieria materiałowa	Inżynieria Materiałowa
Modelowanie struktury materiałów krystalicznych	Inżynieria materiałowa	Inżynieria Materiałowa
Chemia ciała stałego	Inżynieria materiałowa	Inżynieria Materiałowa
Badania operacyjne w projektowaniu i zarządzaniu	Inżynieria materiałowa	Inżynieria Materiałowa
Technologia spoiw gipsowych	Inżynieria materiałowa	Inżynieria Materiałowa
Tworzywa amorficzne	Inżynieria materiałowa	Inżynieria Materiałowa
Inżynieria tkankowa	Inżynieria materiałowa	Inżynieria Materiałowa
Urządzenia próżniowe w badaniach naukowych i technice	Inżynieria materiałowa	Inżynieria Materiałowa
Metodyka badań technicznych szkieł i powłok amorficznych	Inżynieria materiałowa	Inżynieria Materiałowa
Ergonomia	Inżynieria materiałowa	Inżynieria Materiałowa
Fotografia cyfrowa w dokumentacji naukowo-technicznej	Inżynieria materiałowa	Inżynieria Materiałowa
Odnawialne źródła energii	Inżynieria materiałowa	Inżynieria Materiałowa
Metody badawcze w medycynie	Inżynieria materiałowa	Inżynieria Materiałowa
Wybrane techniki eksperymentalne ciała stałego	Inżynieria materiałowa	Inżynieria Materiałowa
Spoiwa specjalne	Inżynieria materiałowa	Inżynieria Materiałowa
Metody badań biomateriałów	Inżynieria materiałowa	Inżynieria Materiałowa
Szkliste materiały izolacyjne	Inżynieria materiałowa	Inżynieria Materiałowa
Fizykochemia powierzchni ciał stałych	Inżynieria materiałowa	Inżynieria Materiałowa
Kompozyty pochodzenia naturalnego	Inżynieria materiałowa	Inżynieria Materiałowa
Materiały luminescencyjne	Inżynieria materiałowa	Inżynieria Materiałowa
Polimery konstrukcyjne i specjalne	Inżynieria materiałowa	Inżynieria Materiałowa
Otwarte systemy operacyjne	Inżynieria materiałowa	Inżynieria Materiałowa
Nanokompozyty polimerowo-węglowe	Inżynieria materiałowa	Inżynieria Materiałowa
Chemia sądowa	Inżynieria materiałowa	Inżynieria Materiałowa
Metodyka rozwiązywania problemów chemicznych	Inżynieria materiałowa	Inżynieria Materiałowa
Szkło jako materiał budowlany	Inżynieria materiałowa	Inżynieria Materiałowa
Drewno i materiały drewnopochodne	Inżynieria materiałowa	Inżynieria Materiałowa
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Inżynieria Materiałowa
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Inżynieria Materiałowa
Materiały ceramiczne	Inżynieria materiałowa	Inżynieria Materiałowa
Materiały metaliczne	Inżynieria materiałowa	Inżynieria Materiałowa
Materiały polimerowe	Inżynieria materiałowa	Inżynieria Materiałowa
Projektowanie materiałowe i komputerowa nauka o materiałach	Inżynieria materiałowa	Inżynieria Materiałowa
Przemiany i diagramy fazowe	Inżynieria materiałowa	Inżynieria Materiałowa
Fizyka ciała stałego	Inżynieria materiałowa	Inżynieria Materiałowa
Metody badań składu chemicznego	Inżynieria materiałowa	Inżynieria Materiałowa
Fizyczne podstawy technologii materiałowych	Inżynieria materiałowa	Inżynieria Materiałowa
Materiały kompozytowe	Inżynieria materiałowa	Inżynieria Materiałowa
Praktyka przemysłowa - 6 tygodni	Inżynieria materiałowa	Inżynieria Materiałowa
Bezpieczeństwo techniczne	Inżynieria materiałowa	Inżynieria Materiałowa
Nanomateriały i nanotechnologie	Inżynieria materiałowa	Inżynieria Materiałowa
Transport masy i ciepła	Inżynieria materiałowa	Inżynieria Materiałowa
Ochrona przed korozją	Inżynieria materiałowa	Inżynieria Materiałowa
Technologie materiałowe dla energetyki	Inżynieria materiałowa	Inżynieria Materiałowa
Technologia materiałów ceramicznych	Inżynieria materiałowa	Inżynieria Materiałowa
Technologia materiałów kompozytowych	Inżynieria materiałowa	Inżynieria Materiałowa
Technologia materiałów metalicznych	Inżynieria materiałowa	Inżynieria Materiałowa
Technologia materiałów polimerowych	Inżynieria materiałowa	Inżynieria Materiałowa
Numerical methods in materials science	Inżynieria materiałowa	Inżynieria Materiałowa
Advanced forming methods	Inżynieria materiałowa	Inżynieria Materiałowa
Advanced chemical analysis	Inżynieria materiałowa	Inżynieria Materiałowa
Degradation of engineering materials	Inżynieria materiałowa	Inżynieria Materiałowa
Theory and practice of ceramics processes	Inżynieria materiałowa	Inżynieria Materiałowa
Chemistry and technology of cementitous materials	Inżynieria materiałowa	Inżynieria Materiałowa
Materials Engineering in Space Technologies	Inżynieria materiałowa	Inżynieria Materiałowa
Physical Chemistry of Surfaces and Surface Analytical Techniques	Inżynieria materiałowa	Inżynieria Materiałowa
Experimental methods in solid state chemistry	Inżynieria materiałowa	Inżynieria Materiałowa
Neurochemistry and Neuropharmacology	Inżynieria materiałowa	Inżynieria Materiałowa
Neurobiology of drug dependence	Inżynieria materiałowa	Inżynieria Materiałowa
Introductory quantum chemistry	Inżynieria materiałowa	Inżynieria Materiałowa
Wear behaviour of high-temperature ceramics in extreme environment applications	Inżynieria materiałowa	Inżynieria Materiałowa
BioComposites	Inżynieria materiałowa	Inżynieria Materiałowa
Special Glasses	Inżynieria materiałowa	Inżynieria Materiałowa
Introduction to building materials engineering	Inżynieria materiałowa	Inżynieria Materiałowa
Small molecules that affected the world's history	Inżynieria materiałowa	Inżynieria Materiałowa
Advanced glass and glass-ceramic materials	Inżynieria materiałowa	Inżynieria Materiałowa
Introduction to Rheology	Inżynieria materiałowa	Inżynieria Materiałowa
Etykieta przyszłego inżyniera i absolwenta	Inżynieria materiałowa	Inżynieria Materiałowa
Z wizytówką w świat	Inżynieria materiałowa	Inżynieria Materiałowa
Zarządzanie zespołami. „ Ja – Lider zespołu”	Inżynieria materiałowa	Inżynieria Materiałowa
Rozwiązywanie problemów inżynierskich	Inżynieria materiałowa	Inżynieria Materiałowa
Ekonomika i zarządzanie	Inżynieria materiałowa	Inżynieria Materiałowa
Zarządzanie jakością	Inżynieria materiałowa	Inżynieria Materiałowa
Zarządzanie produkcją, usługami i personelem	Inżynieria materiałowa	Inżynieria Materiałowa
Zarządzanie i komunikacja w projektach	Inżynieria materiałowa	Inżynieria Materiałowa
Seminarium inżynierskie	Inżynieria materiałowa	Inżynieria Materiałowa
Ochrona własności intelektualnej	Inżynieria materiałowa	Inżynieria Materiałowa
Projekt dyplomowy	Inżynieria materiałowa	Inżynieria Materiałowa
Metody mikroskopowe	Inżynieria materiałowa	Inżynieria Materiałowa
Metody analityczne kontroli procesu produkcyjnego	Inżynieria materiałowa	Inżynieria Materiałowa
Metody termiczne	Inżynieria materiałowa	Inżynieria Materiałowa
Metody strukturalne	Inżynieria materiałowa	Inżynieria Materiałowa
Przemysł motoryzacyjny - szanse i wyzwania	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Podstawy wiedzy o materiałach	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Algorytmika i podstawy programowania	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Matematyka I	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Chemia ogólna I	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Bezpieczeństwo pracy i ergonomia	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Zapis konstrukcji i grafika inżynierska	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Marketing i zarządzanie zespołem	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Mechanika płynów i technika cieplna	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Chemia ogólna II	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Podstawy elektrotechniki i automatyki	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Fizyka I	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
CAD - projektowanie wspomagane komputerowo	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Metody badań materiałów i konstrukcji	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Matematyka II	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Podstawy mechaniki i wytrzymałości materiałów	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język angielski B2 - kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Matematyka III	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Podstawy inżynierii materiałowej	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Krystalizacja metali i stopów	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Fizyka II	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Budowa zespołów pojazdów	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Techniki wytwarzania komponentów motoryzacyjnych	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Technologie odlewnicze dla motoryzacji	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Techniki masowego wytwarzania	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Tworzywa na formy jednorazowe	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Silniki i napędy pojazdów	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Polimery i polimerowe kompozyty konstrukcyjne	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Chemia fizyczna dla inżynierów	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Podstawy symulacji komputerowej I	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Inżynieria stopów żelaza z węglem	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Inżynieria stopów metali nieżelaznych	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Prawo patentowe i ochrona własności intelektualnej	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Wytwarzanie w formach metalowych	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Statystyka obróbka danych	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Zrobotyzowane systemy sterowania i pomiaru	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Obróbka plastyczna	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Kształtowanie jakości i komponentów motoryzacyjnych	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Metalowe materiały kompozytowe	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Nanomateriały	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Odlewy cienkościenne dla motoryzacji	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Korozja i zabezpieczenia antykorozyjne	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Praktyka zawodowa	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Podstawy symulacji komputerowej II	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Tworzywa sztuczne dla motoryzacji	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Podstawy konstrukcji komponentów motoryzacyjnych	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Seminarium dyplomowe	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Recykling w przemyśle motoryzacyjnym	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Systemy zarzadzania jakością w motoryzacji	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Projektowanie form ciśnieniowych i wtryskowych	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Obróbka cieplna i cieplnochemiczna komponentów	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Zaawansowane zarządzanie jakością	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Logistyka (Lean Manufacturing) w produkcji motoryzacyjnej	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Tendencje światowe w doskonaleniu produkcji motoryzacyjnej	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Informatyczne systemy zarządzania jakością w motoryzacji	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Projektowanie relacyjnych baz danych	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Programowanie webowe (html5, css3, javascript, php)	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Programowanie obiektowe	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Programowanie w wybranych językach	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Inżynieria odwrotna	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Metody Rapid Proptyping (druk 3D) w odlewnictwie	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Zaawansowane projektowanie CAD	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Materiały do druku 3D	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Projekt dyplomowy	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Wysokojakościowe stopy Fe-C dla przemysłu motoryzacyjnego	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Żeliwo wysokojakościowe dla przemysłu motoryzacyjnego	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Inżynieria powierzchni stopów żelaza z węglem	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Tworzywa i odlewy dla przemysłu zbrojeniowego	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Innowacyjne technologie wytwarzania komponentów pojazdów	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Tworzywa i technologia wytwarzania elementów układów hamowania	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Tworzywa do pracy w warunkach dynamicznych obciążeń	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Materiały funkcjonalne w motoryzacji	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Crash testy pojazdów samochodowych	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Symulacja procesu spawania	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Symulacje naprężeń i odkształceń w materiałach	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Symulacja procesu tłoczenia	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Surface treatment of cast components	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Numerical methods in foundry engineering	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
High Pressure Die Casting	Inżynieria materiałowa	Tworzywa i Technologie Motoryzacyjne
Matematyka I	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Zapis konstrukcji i grafika inżynierska	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Chemia ogólna	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Podstawy informatyki	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Podstawy ergonomii i BHP	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Ochrona własności intelektualnej	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Projektowanie bryłowe  CAD	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Metaloznawstwo	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Matematyka II	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Fizyka I	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Symulacje komputerowe procesów wytwarzania I	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Mechanika i wytrzymałość materiałów	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Nowoczesne materiały inżynierskie	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Krystalizacja	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język angielski B2 - kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Fizyka II	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Metoda odchyłek ważonych	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Części maszyn	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Symulacje komputerowe procesów wytwarzania II (CAST CAE)	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Techniki obróbki i łączenia materiałów	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Fizyko-chemia procesów odlewniczych	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Podstawy automatyki i robotyki	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język angielski B2 - kurs obowiązkowy 135 godzin - semestr 2/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Technologia form odlewniczych	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Materiały na formy odlewnicze	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Metody badań materiałów	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Nowoczesne Techniki Wytwarzania	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Termodynamika techniczna  i technika cieplna	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Programowanie  obiektowe	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 3/3	Inżynieria materiałowa	Komputerowe Wspomaganie Procesów Inżynierskich
